Year,Country,Total_Medals,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Athletes,Events_Count,Host_or_Not,Country_Code,population_total,population_growth,GNI_per_capita,GDP,GDP_growth,Region,GDP_per_capita,Population_Percentage,GDP_Percentage,HDI
1996,Belgium,6,2,2,2,61,55,0,BEL,10156600,0.195393,28550,2.79201E+11,1.32145,Europe and Central Asia,27489.6,0.00175748,0.008858705,0.857
2000,Belgium,5,0,2,3,68,64,0,BEL,10251300,0.242518,25890,2.36792E+11,3.71668,Europe and Central Asia,23098.9,0.001677662,0.007074338,0.873
2004,Belgium,3,1,0,2,50,41,0,BEL,10421100,0.432788,32910,3.69215E+11,3.5712,Europe and Central Asia,35429.4,0.001619136,0.008441978,0.885
2008,Belgium,2,1,1,0,94,55,0,BEL,10710000,0.789977,46570,5.17328E+11,0.446929,Europe and Central Asia,48303.4,0.001582939,0.008131058,0.899
2012,Belgium,3,0,1,2,111,71,0,BEL,11106900,0.620164,47130,4.96153E+11,0.739217,Europe and Central Asia,44670.6,0.001563277,0.006610157,0.905
2016,Belgium,6,2,2,2,104,74,0,BEL,11331400,0.5063,43400,4.76063E+11,1.26669,Europe and Central Asia,42012.6,0.001520385,0.006285864,0.915
2012,Botswana,1,0,1,0,4,4,0,BOT,2175430,1.92086,6700,13907500000,-0.170901,Sub-Saharan Africa,6392.99,0.000306186,0.000185287,0.683
1992,Brazil,3,2,1,0,182,107,0,BRA,155901000,1.65853,2310,3.28192E+11,-0.544072,Latin America and Caribbean,2105.13,0.028663794,0.013074832,0.622
1996,Brazil,15,3,3,9,221,93,0,BRA,166037000,1.53047,4370,8.50426E+11,2.20886,Latin America and Caribbean,5121.91,0.028730656,0.026982945,0.656
2000,Brazil,12,0,6,6,198,96,0,BRA,175874000,1.36677,3910,6.55448E+11,4.38795,Latin America and Caribbean,3726.81,0.028782508,0.019581969,0.684
2004,Brazil,10,5,2,3,243,133,0,BRA,184722000,1.13939,3340,6.69289E+11,5.75996,Latin America and Caribbean,3623.22,0.028700337,0.015303092,0.698
2008,Brazil,16,3,4,9,268,145,0,BRA,192672000,0.987284,7590,1.69586E+12,5.0942,Latin America and Caribbean,8801.76,0.028477064,0.026654452,0.716
2012,Brazil,17,3,5,9,248,138,0,BRA,199978000,0.900343,12270,2.46523E+12,1.92118,Latin America and Caribbean,12327.5,0.028146434,0.032843795,0.736
2016,Brazil,19,7,6,6,462,222,1,BRA,206860000,0.811256,8890,1.79569E+12,-3.27592,Latin America and Caribbean,8680.74,0.027755228,0.023710078,0.758
1992,Bulgaria,16,3,7,6,138,116,0,BUL,8540160,-1.07385,1430,10350500000,-7.27239,Europe and Central Asia,1211.98,0.001570188,0.000412354,0.691
1996,Bulgaria,15,3,7,5,110,89,0,BUL,8362830,-0.51573,1590,12295000000,5.20539,Europe and Central Asia,1470.19,0.001447083,0.000390104,0.702
2000,Bulgaria,13,5,6,2,91,85,0,BUL,8170170,-0.493896,1660,13246000000,4.58723,Europe and Central Asia,1621.26,0.001337085,0.000395733,0.712
2004,Bulgaria,12,2,1,9,95,94,0,BUL,7716860,-0.754797,3060,26157700000,6.51043,Europe and Central Asia,3389.69,0.001198972,0.000598089,0.745
2008,Bulgaria,5,1,1,3,70,60,0,BUL,7492560,-0.701923,6070,54480700000,6.12956,Europe and Central Asia,7271.3,0.001107404,0.000856295,0.771
2012,Bulgaria,2,0,1,1,63,56,0,BUL,7305890,-0.579221,7500,54288100000,0.748815,Europe and Central Asia,7430.74,0.001028288,0.000723271,0.786
2016,Bulgaria,3,0,1,2,51,51,0,BUL,7127820,-0.701382,7400,53964300000,3.02663,Europe and Central Asia,7570.93,0.00095637,0.000712536,0.81
1996,Burundi,1,1,0,0,7,6,0,BDI,5930510,-0.0383705,150,869034000,-8,Sub-Saharan Africa,146.536,0.0010262,2.75733E-05,0.294
2016,Burundi,1,0,1,0,9,9,0,BDI,10903300,1.62902,250,2644490000,-0.600001,Sub-Saharan Africa,242.54,0.001462946,3.49174E-05,0.418
2000,Cameroon,1,1,0,0,34,14,0,CMR,15091600,2.63603,720,10566600000,3.83242,Sub-Saharan Africa,700.163,0.002469806,0.000315684,0.431
2004,Cameroon,1,1,0,0,17,15,0,CMR,16809400,2.74462,1020,18826200000,7.04886,Sub-Saharan Africa,1119.98,0.002611684,0.000430455,0.464
2008,Cameroon,1,1,0,0,32,16,0,CMR,18777100,2.83697,1350,27715100000,2.84768,Sub-Saharan Africa,1476.01,0.002775262,0.00043561,0.492
1992,Canada,18,7,4,7,295,199,0,CAN,28371300,1.18368,21420,5.94387E+11,0.890466,North America,20950.3,0.005216318,0.023679787,0.856
1996,Canada,22,3,11,8,303,189,0,CAN,29610200,1.04531,20820,6.30608E+11,1.68896,North America,21297,0.005123679,0.020008387,0.863
2000,Canada,14,3,3,8,294,175,0,CAN,30685700,0.931282,22740,7.44773E+11,5.13854,North America,24271,0.005021855,0.02225062,0.867
2004,Canada,12,3,6,3,262,151,0,CAN,31938800,0.932187,29530,1.02669E+12,3.09236,North America,32145.5,0.004962345,0.023474949,0.887
2008,Canada,19,3,9,7,332,185,0,CAN,33247300,1.08387,44930,1.55299E+12,0.995406,North America,46710.3,0.004913967,0.024408978,0.899
2012,Canada,18,1,5,12,273,179,0,CAN,34713400,1.08375,51080,1.82837E+12,1.75566,North America,52670.3,0.004885836,0.024359004,0.908
2016,Canada,22,4,3,15,310,175,0,CAN,36110800,1.13154,43900,1.52799E+12,1.03855,North America,42314.1,0.00484514,0.020175422,0.922
2000,Chile,1,0,0,1,50,28,0,CHI,15351800,1.14904,5080,78339800000,4.97162,Latin America and Caribbean,44318.2,0.002512389,0.000192391,0.759
2004,Chile,3,2,0,1,22,25,0,CHI,16018000,0.996674,5260,99076000000,6.67425,Latin America and Caribbean,57200.5,0.002488718,0.000195576,0.783
2008,Chile,1,0,1,0,26,26,0,CHI,16661500,1.00085,10060,1.79895E+11,3.78939,Latin America and Caribbean,10797,0.002462572,0.002827477,0.806
1992,China,53,16,22,15,243,144,0,CHN,1164970000,1.22554,390,4.26916E+11,14.2245,East Asia and Pacific,366.461,0.214190445,0.017007887,0.521
1996,China,50,16,22,12,289,155,0,CHN,1217550000,1.04814,650,8.63749E+11,9.92256,East Asia and Pacific,709.416,0.210681861,0.027405663,0.559
2000,China,58,28,16,14,266,163,0,CHN,1262650000,0.787957,940,1.21133E+12,8.49009,East Asia and Pacific,959.36,0.206637412,0.03618937,0.594
2004,China,63,32,17,14,372,204,0,CHN,1296080000,0.593933,1510,1.95535E+12,10.1136,East Asia and Pacific,1508.67,0.201371684,0.044708388,0.635
2008,China,100,51,21,28,583,257,1,CHN,1324660000,0.512387,3100,4.59434E+12,9.65068,East Asia and Pacific,3468.33,0.195784667,0.072211081,0.685
2012,China,88,38,27,23,365,206,0,CHN,1354190000,0.678345,5910,8.53219E+12,7.86374,East Asia and Pacific,6300.58,0.190599342,0.113672802,0.722
2016,China,70,26,18,26,390,209,0,CHN,1387790000,0.573051,8210,1.12333E+13,6.84876,East Asia and Pacific,8094.39,0.186205675,0.148323053,0.748
1992,Chinese Taipei,1,0,1,0,31,15,0,TPE,20802620,0.87,11000,2.2191E+11,8.3,East Asia and Pacific,10720,0.000502953,0.000538695,0.79
1996,Chinese Taipei,1,0,1,0,74,63,0,TPE,21525433,0.73,13825,2.9249E+11,6.2,East Asia and Pacific,13590,0.000520429,0.00071003,0.81
2000,Chinese Taipei,5,0,1,4,55,59,0,TPE,22276672,0.61,15105,3.3068E+11,6.3,East Asia and Pacific,14908,0.000538592,0.000802738,0.82
2004,Chinese Taipei,5,2,2,1,88,52,0,TPE,22689122,0.48,15797,3.4692E+11,7,East Asia and Pacific,15317,0.000548564,0.000842161,0.825
2008,Chinese Taipei,4,0,0,4,79,41,0,TPE,23037031,0.24,18503,4.159E+11,0.8,East Asia and Pacific,18081,0.000556975,0.001009612,0.83
2012,Chinese Taipei,2,0,1,1,44,40,0,TPE,23315822,0.39,21922,4.9561E+11,2.2,East Asia and Pacific,21295,0.000563716,0.001203111,0.845
2016,Chinese Taipei,3,1,0,2,55,46,0,TPE,23539816,0.35,23684,5.4308E+11,2.2,East Asia and Pacific,23091,0.000569131,0.001318347,0.855
